gene_ID,9239-ZC-0007_S1_control,9239-ZC-0008_S1_control,9239-ZC-0009_S1_control,9239-ZC-0010_S1_KCTie2,9239-ZC-0011_S1_KCTie2,9239-ZC-0012_S1_KCTie2
ENSMUSG00000106229,108.204,99.9322,97.4146,101.035,98.3625,101.617
ENSMUSG00000106237,14.7073,28.906,20.2947,28.8672,38.3447,31.7554
ENSMUSG00000106239,498.772,356.566,589.151,188.158,208.537,345.605
ENSMUSG00000106246,14.7159,18.9954,28.4126,18.8747,30.0338,18.1665
ENSMUSG00000106251,49.3745,37.1649,27.0596,32.1981,25.0074,27.2189
ENSMUSG00000106254,66.1829,85.8922,55.4722,73.2784,64.1857,78.0275
ENSMUSG00000106262,29.4146,21.473,36.5305,24.4261,26.6746,31.7554
ENSMUSG00000106288,58.8292,48.7273,43.2954,35.5289,53.3491,46.2721
ENSMUSG00000106290,58.8292,80.9368,96.0616,78.8298,70.0207,59.8816
ENSMUSG00000106294,131.315,152.072,187.774,125.462,141.147,127.31
ENSMUSG00000106303,31.5157,47.0755,33.8245,32.1981,47.5141,57.1597
ENSMUSG00000106317,32.5662,30.5578,21.6477,16.6542,20.0059,20.8678
ENSMUSG00000106320,232.165,223.815,200.241,237.6,238.404,198.698
ENSMUSG00000106329,14.3619,33.857,43.213,21.0927,27.5079,18.9957
ENSMUSG00000106334,47.4227,84.4666,114.773,80.2199,75.5637,81.0518
ENSMUSG00000106341,55.6777,47.9014,52.7663,34.4186,38.3447,53.5305
ENSMUSG00000106364,52.2863,53.575,63.126,39.6411,49.3386,64.1754
ENSMUSG00000106365,33.6167,25.6025,20.2947,15.5439,23.3402,25.4043
ENSMUSG00000106375,360.329,460.844,437.013,368.613,326.763,422.8
ENSMUSG00000106383,56.7282,48.7273,81.1789,64.3962,45.0133,74.3984
ENSMUSG00000106386,132.366,127.186,121.768,147.667,114.201,97.0808
ENSMUSG00000106411,32.5662,35.5131,36.5305,33.3084,40.0119,23.5897
ENSMUSG00000106421,22.061,15.828,29.7656,14.6061,20.8395,27.5908
ENSMUSG00000106427,79.7584,90.0824,86.1669,71.5544,60.1172,74.1453
ENSMUSG00000106432,104.002,92.4992,66.2961,74.3887,88.3595,59.8816
ENSMUSG00000106443,80.8902,95.8028,71.708,96.5943,65.8528,51.7159
ENSMUSG00000106451,72.4204,72.848,56.1047,70.9836,83.5654,79.2775
ENSMUSG00000106457,105.608,102.049,96.7591,112.874,109.83,113.605
ENSMUSG00000106464,53.5766,64.4191,58.1782,61.0653,59.1842,58.067
ENSMUSG00000106475,104.002,159.396,136.651,156.549,140.875,135.187
ENSMUSG00000106491,50.4251,56.9861,55.4722,36.6392,54.1827,37.1992
ENSMUSG00000106497,12.6063,28.0801,27.0596,17.7645,26.6746,14.5168
ENSMUSG00000106498,39.9198,33.8613,33.8245,27.757,52.5156,29.0335
ENSMUSG00000106499,114.306,90.6257,92.6749,89.5678,99.0252,86.5684
ENSMUSG00000106526,22.6103,21.6652,28.4126,14.4336,34.6551,22.6824
ENSMUSG00000106528,25.2125,25.6025,18.9417,18.8747,33.3432,30.8481
ENSMUSG00000106535,36.7683,44.5979,73.061,55.5139,61.6849,58.067
ENSMUSG00000106536,54.6271,45.4237,63.5901,42.1906,42.5126,27.2189
ENSMUSG00000106547,95.5975,61.1156,89.2967,72.1681,90.0267,73.4911
ENSMUSG00000106557,17.8589,25.6025,9.47087,23.3159,25.0074,19.0532
ENSMUSG00000106558,98.9305,82.7675,77.3801,66.6013,98.5475,76.459
ENSMUSG00000106570,67.2334,56.9861,79.8259,78.6718,44.3622,64.4181
ENSMUSG00000106574,46.7972,61.4179,62.5522,63.5528,74.7169,84.0946
ENSMUSG00000106575,38.8693,57.812,56.8252,51.0728,80.0237,54.4378
ENSMUSG00000106588,9.4547,26.6242,14.8828,14.4336,12.5037,17.2857
ENSMUSG00000106596,94.547,95.8028,79.8259,64.3962,80.0237,83.4713
ENSMUSG00000106603,90.3449,77.6333,56.8252,89.9326,102.53,57.1597
ENSMUSG00000106617,84.0418,39.6425,66.166,69.8355,56.6835,51.779
ENSMUSG00000106623,29.4146,53.6826,46.0014,51.0728,33.3432,35.3846
ENSMUSG00000106631,29.212,23.9592,47.6408,25.7744,52.9758,28.5974
ENSMUSG00000106634,127.113,107.365,123.121,85.4915,100.863,113.412
ENSMUSG00000106636,151.275,187.476,136.651,163.211,140.875,143.353
ENSMUSG00000106643,44.6059,57.2709,55.0595,58.9317,44.7846,56.0996
ENSMUSG00000106648,55.6777,42.1202,40.5894,66.6167,52.5156,29.0335
ENSMUSG00000106664,50.723,45.781,61.575,53.6482,48.7124,72.4188
ENSMUSG00000106665,35.7178,46.2496,32.4715,33.3084,36.6775,30.8481
ENSMUSG00000106671,49.3745,68.5485,51.4133,65.5064,39.1783,42.643
ENSMUSG00000106676,57.3313,85.3077,95.7555,88.5898,75.0925,91.9844
ENSMUSG00000106678,72.486,71.8521,93.3557,69.9476,73.3551,78.0275
ENSMUSG00000106682,90.3449,85.0663,101.474,74.3887,73.3551,74.3984
ENSMUSG00000106691,33.6167,46.2496,43.2954,46.6317,31.6761,27.2189
ENSMUSG00000106696,45.207,43.0498,27.087,33.4031,29.1955,21.85
ENSMUSG00000106706,231.115,170.958,209.712,222.056,222.566,129.743
ENSMUSG00000106715,38.1961,50.0578,79.9122,51.3508,44.7481,49.1762
ENSMUSG00000106717,64.0818,56.9861,48.7073,49.9625,51.682,52.6232
ENSMUSG00000106720,131.315,149.485,129.886,137.675,136.707,88.0078
ENSMUSG00000106732,74.5871,79.2851,89.2967,85.4915,77.523,90.7297
ENSMUSG00000106734,154.427,148.66,156.946,152.108,151.712,139.724
ENSMUSG00000106739,39.9198,33.0354,36.5305,65.5064,63.3521,50.8086
ENSMUSG00000106749,65.1324,71.0262,83.8848,49.9625,80.0237,78.0275
ENSMUSG00000106751,24.162,25.6025,28.4126,25.5364,37.5111,30.8481
ENSMUSG00000106755,122.251,122.206,103.745,113.527,139.503,124.138
ENSMUSG00000106757,35.7178,43.772,51.4133,52.1831,30.8425,38.1065
ENSMUSG00000106767,95.8273,84.3643,98.8455,75.6585,101.75,101.892
ENSMUSG00000106772,60.9303,61.9415,48.7073,65.5064,42.5126,53.5305
ENSMUSG00000106798,34.6672,50.3791,40.5894,37.7495,21.6731,39.9211
ENSMUSG00000106815,60.9303,72.678,81.1789,65.5064,73.3551,67.14
ENSMUSG00000106818,81.9407,113.146,105.533,96.5943,92.5274,95.2662
ENSMUSG00000106822,66.1829,55.3344,52.7663,75.499,72.5215,74.3984
ENSMUSG00000106825,111.355,99.9322,104.18,123.241,128.371,81.6567
ENSMUSG00000106831,301.029,303.394,323.502,278.857,324.316,309.141
ENSMUSG00000106837,29.4146,27.2542,24.3537,34.4186,20.0059,16.3313
ENSMUSG00000106838,148.124,145.356,92.0027,89.9326,100.863,112.505
ENSMUSG00000106847,1141.92,1053.83,1030.97,1130.26,1010.3,939.96
ENSMUSG00000106858,21.0104,37.1649,32.4715,21.0953,21.6731,19.0532
ENSMUSG00000106864,1704.04,1771.61,1686.1,1761.89,1642.82,1531.85
ENSMUSG00000106867,222.711,183.347,186.711,198.74,251.741,215.029
ENSMUSG00000106870,76.6881,70.2003,74.414,96.5943,88.3595,65.3254
ENSMUSG00000106874,72.486,68.5485,96.0616,77.7195,88.3595,92.5443
ENSMUSG00000106889,23.1115,21.473,27.0596,35.5289,51.024,25.4043
ENSMUSG00000106894,28.3641,33.0354,14.8828,16.6542,24.1738,32.6627
ENSMUSG00000106896,46.5721,52.9653,39.5752,41.7142,42.07,36.116
ENSMUSG00000106904,46.223,72.678,40.5894,56.6242,35.844,56.2524
ENSMUSG00000106912,29.4146,42.9461,28.4126,34.4186,15.0044,28.1262
ENSMUSG00000106917,160.64,147.224,140.502,119.134,145.227,163.399
ENSMUSG00000106918,526.311,554.17,496.543,524.945,535.159,577.042
ENSMUSG00000106926,512.748,426.708,352.041,418.617,410.917,419.105
ENSMUSG00000106927,35.7178,28.0801,46.0014,34.4186,40.0119,17.2386
ENSMUSG00000106928,75.6376,54.5085,60.8841,76.6092,62.5185,91.637
ENSMUSG00000106930,11.817,10.0709,14.3092,9.78902,26.3231,15.7502
ENSMUSG00000106933,29.7424,34.8638,27.2491,52.3996,39.1783,29.0335
ENSMUSG00000106940,94.547,105.713,109.591,108.807,80.8573,80.7494
ENSMUSG00000106943,65.4917,56.472,85.5133,75.4267,58.8412,77.0385
ENSMUSG00000106944,45.1724,37.9908,58.1782,54.4037,49.1812,29.0335
ENSMUSG00000106946,142.871,158.57,166.417,138.785,180.053,180.552
ENSMUSG00000106951,405.501,397.252,489.779,425.237,418.457,329.348
ENSMUSG00000106959,73.5365,76.8074,83.8848,77.7195,63.3521,84.3786
ENSMUSG00000106961,9.4547,29.7319,25.7066,22.2056,20.8395,26.3116
ENSMUSG00000106963,100.85,109.843,89.2967,62.1756,51.682,113.412
ENSMUSG00000106965,54.6271,66.0709,39.2364,66.6167,64.1857,60.7889
ENSMUSG00000106978,185.444,127.118,152.067,134.151,145.877,165.995
ENSMUSG00000106981,58.8292,60.2897,69.002,77.7195,62.5185,54.4378
ENSMUSG00000106988,206.488,185.638,220.609,185.375,166.416,225.017
ENSMUSG00000106990,150.225,129.664,123.121,79.9401,114.201,149.704
ENSMUSG00000106993,51.4756,125.535,106.885,135.454,103.364,97.9881
ENSMUSG00000107000,363.481,437.72,419.424,343.076,353.438,341.144
ENSMUSG00000107002,618.757,708.61,622.371,702.806,701.875,735.818
ENSMUSG00000107009,54.6271,37.9908,50.0603,48.8523,44.1798,58.9743
ENSMUSG00000107018,25.2125,19.8213,20.2947,27.757,26.6746,20.8678
ENSMUSG00000107019,65.1324,63.5932,86.5908,79.9401,95.0282,67.14
ENSMUSG00000107020,25.8672,26.1208,33.5659,37.4586,15.3029,14.1502
ENSMUSG00000107023,566.807,593.105,456.887,466.458,587.432,557.215
ENSMUSG00000107035,913.393,905.168,999.71,758.483,827.597,971.874
ENSMUSG00000107050,64.0818,42.1202,43.2954,42.1906,48.3477,47.1794
ENSMUSG00000107054,34.6672,47.0755,31.1186,29.9775,35.0104,32.6627
ENSMUSG00000107066,209.131,225.968,242.555,253.937,245.736,215.402
ENSMUSG00000107068,292.255,288.998,293.702,370.141,293.911,290.052
ENSMUSG00000107083,67.2334,75.9815,93.3557,63.2859,70.0207,87.1005
ENSMUSG00000107086,43.7776,35.7948,65.2289,53.374,43.2593,52.9271
ENSMUSG00000107091,94.547,102.41,85.2378,96.5943,86.6924,48.994
ENSMUSG00000107092,1703.25,1221.15,1998.12,743.455,800.643,1131.3
ENSMUSG00000107094,28.3641,19.8213,31.1186,24.4261,25.0074,28.1262
ENSMUSG00000107096,169.134,170.133,166.417,203.181,165.049,185.089
ENSMUSG00000107102,35.7178,37.9908,17.5888,21.0953,47.5141,24.497
ENSMUSG00000107103,58.8292,39.6425,48.7073,47.742,31.6761,45.3649
ENSMUSG00000107109,43.0714,71.0262,43.2954,65.5064,50.0148,53.5305
ENSMUSG00000107115,43.0714,50.3791,27.0596,41.0803,52.5156,49.9013
ENSMUSG00000107116,119.76,156.092,155.593,144.336,155.046,144.26
ENSMUSG00000107118,91.3954,106.539,97.4146,114.359,110.033,95.2662
ENSMUSG00000107120,31.5157,29.7319,39.2364,24.4261,26.6746,26.3116
ENSMUSG00000107121,14.7073,23.9507,28.4126,31.0878,28.3417,24.497
